E_lab	E*/MeV	189At	190At	51V+144Sm->191At	51V+144Sm->192At	193At	194At	195At
275.818	73	3.74E-10	4.35E-08	2.40E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
277.172	74	5.51E-10	3.67E-08	1.56E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
278.527	75	7.45E-10	3.04E-08	9.23E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00
279.881	76	9.38E-10	2.48E-08	5.38E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00
281.235	77	1.11E-09	1.98E-08	1.83E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00
282.589	78	1.25E-09	1.57E-08	4.70E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00
283.943	79	1.34E-09	1.23E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00


E_lab E* "192At_{Andreyev, SHIP}"
232 41  40e-6 10e-6


E_lab E* 192At_{Boris}
231.1   40  15e-6
232.9   41.3    57e-6


E_lab	E*/MeV	189At	190At	54Fe+141Pr->191At	54Fe+141Pr->192At	193At	194At	195At
219.603	20	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.20E-15	1.39E-09	0.00E+00
220.986	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.41E-13	3.42E-09	0.00E+00
222.369	22	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.29E-11	8.24E-09	0.00E+00
223.752	23	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.56E-09	1.95E-08	0.00E+00
225.135	24	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.07E-08	4.48E-08	0.00E+00
226.518	25	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.95E-07	9.78E-08	0.00E+00
227.901	26	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.20E-06	1.97E-07	0.00E+00
229.284	27	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.21E-06	3.37E-07	0.00E+00
230.667	28	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.28E-06	4.63E-07	0.00E+00
232.05	29	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.47E-05	5.17E-07	0.00E+00
233.433	30	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.85E-05	4.95E-07	0.00E+00
234.816	31	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.01E-05	4.23E-07	0.00E+00
236.199	32	0.00E+00	0.00E+00	0.00E+00	2.80E-10	1.95E-05	3.30E-07	0.00E+00
237.582	33	0.00E+00	0.00E+00	0.00E+00	8.58E-09	1.73E-05	2.36E-07	0.00E+00
238.965	34	0.00E+00	0.00E+00	0.00E+00	9.44E-08	1.43E-05	1.36E-07	0.00E+00
240.348	35	0.00E+00	0.00E+00	0.00E+00	5.31E-07	1.11E-05	3.17E-09	0.00E+00
241.731	36	0.00E+00	0.00E+00	0.00E+00	1.91E-06	8.19E-06	0.00E+00	0.00E+00
243.114	37	0.00E+00	0.00E+00	0.00E+00	5.09E-06	5.76E-06	0.00E+00	0.00E+00
244.497	38	0.00E+00	0.00E+00	0.00E+00	1.04E-05	3.89E-06	0.00E+00	0.00E+00
245.88	39	0.00E+00	0.00E+00	0.00E+00	1.68E-05	2.53E-06	0.00E+00	0.00E+00
247.263	40	0.00E+00	0.00E+00	0.00E+00	2.22E-05	1.60E-06	0.00E+00	0.00E+00
248.646	41	0.00E+00	0.00E+00	0.00E+00	2.51E-05	9.80E-07	0.00E+00	0.00E+00
250.029	42	0.00E+00	0.00E+00	5.75E-11	2.51E-05	5.87E-07	0.00E+00	0.00E+00
251.412	43	0.00E+00	0.00E+00	6.77E-10	2.28E-05	3.42E-07	0.00E+00	0.00E+00
252.795	44	0.00E+00	0.00E+00	4.54E-09	1.93E-05	1.95E-07	0.00E+00	0.00E+00
254.178	45	0.00E+00	0.00E+00	2.01E-08	1.54E-05	1.03E-07	0.00E+00	0.00E+00
255.561	46	0.00E+00	0.00E+00	6.47E-08	1.17E-05	3.79E-08	0.00E+00	0.00E+00
256.944	47	0.00E+00	0.00E+00	1.60E-07	8.61E-06	0.00E+00	0.00E+00	0.00E+00
258.327	48	0.00E+00	0.00E+00	3.15E-07	6.14E-06	0.00E+00	0.00E+00	0.00E+00
259.71	49	0.00E+00	0.00E+00	5.04E-07	4.27E-06	0.00E+00	0.00E+00	0.00E+00
261.093	50	0.00E+00	0.00E+00	6.85E-07	2.91E-06	0.00E+00	0.00E+00	0.00E+00
262.476	51	0.00E+00	0.00E+00	8.18E-07	1.95E-06	0.00E+00	0.00E+00	0.00E+00
263.859	52	0.00E+00	0.00E+00	8.81E-07	1.29E-06	0.00E+00	0.00E+00	0.00E+00
265.242	53	0.00E+00	1.14E-13	8.77E-07	8.45E-07	0.00E+00	0.00E+00	0.00E+00
266.625	54	0.00E+00	1.71E-12	8.18E-07	5.49E-07	0.00E+00	0.00E+00	0.00E+00
268.008	55	0.00E+00	1.47E-11	7.24E-07	3.53E-07	0.00E+00	0.00E+00	0.00E+00
269.391	56	0.00E+00	8.33E-11	6.14E-07	2.26E-07	0.00E+00	0.00E+00	0.00E+00
270.774	57	0.00E+00	3.45E-10	5.02E-07	1.44E-07	0.00E+00	0.00E+00	0.00E+00
272.157	58	0.00E+00	1.11E-09	3.99E-07	9.15E-08	0.00E+00	0.00E+00	0.00E+00
273.54	59	0.00E+00	2.94E-09	3.09E-07	5.77E-08	0.00E+00	0.00E+00	0.00E+00
274.923	60	0.00E+00	6.53E-09	2.34E-07	3.61E-08	0.00E+00	0.00E+00	0.00E+00
276.306	61	0.00E+00	1.24E-08	1.74E-07	2.23E-08	0.00E+00	0.00E+00	0.00E+00
277.689	62	0.00E+00	2.07E-08	1.28E-07	1.34E-08	0.00E+00	0.00E+00	0.00E+00
279.071	63	0.00E+00	3.06E-08	9.21E-08	7.68E-09	0.00E+00	0.00E+00	0.00E+00
280.454	64	0.00E+00	4.10E-08	6.58E-08	3.41E-09	0.00E+00	0.00E+00	0.00E+00
281.837	65	5.05E-14	5.03E-08	4.65E-08	7.36E-10	0.00E+00	0.00E+00	0.00E+00
283.22	66	3.57E-13	5.76E-08	3.26E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
284.603	67	1.82E-12	6.19E-08	2.27E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
285.986	68	7.08E-12	6.32E-08	1.56E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
287.369	69	2.17E-11	6.18E-08	1.07E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
288.752	70	5.47E-11	5.81E-08	7.33E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
290.135	71	1.16E-10	5.29E-08	4.97E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
291.518	72	2.13E-10	4.68E-08	3.35E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
292.901	73	3.47E-10	4.04E-08	2.23E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
294.284	74	5.11E-10	3.41E-08	1.44E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
295.667	75	6.91E-10	2.82E-08	8.56E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00
297.05	76	8.70E-10	2.30E-08	4.99E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00
298.433	77	1.03E-09	1.84E-08	1.70E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00
299.816	78	1.16E-09	1.46E-08	4.36E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00
301.199	79	1.24E-09	1.14E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
302.582	80	1.28E-09	8.81E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00


E_lab E* 191At_{RITU}
260 49 0.3e-6
