E_lab	E*/MeV	175Hg	176Hg	177Hg	178Hg	179Hg	180Hg
400.046	50.0	0.000E+00	0.575E-06	0.509E+00	0.526E+01	0.290E+00	0.660E-03
403.959	52.0	0.000E+00	0.267E-04	0.875E+00	0.398E+01	0.128E+00	0.204E-03
407.872	54.0	0.000E+00	0.408E-03	0.124E+01	0.276E+01	0.541E-01	0.606E-04
411.785	56.0	0.000E+00	0.286E-02	0.153E+01	0.176E+01	0.221E-01	0.169E-04
415.698	58.0	0.000E+00	0.118E-01	0.166E+01	0.105E+01	0.882E-02	0.399E-05
419.611	60.0	0.000E+00	0.332E-01	0.161E+01	0.592E+00	0.343E-02	0.000E+00
423.524	62.0	0.000E+00	0.710E-01	0.142E+01	0.316E+00	0.131E-02	0.000E+00
427.437	64.0	0.138E-05	0.123E+00	0.114E+01	0.162E+00	0.488E-03	0.000E+00
431.350	66.0	0.197E-04	0.181E+00	0.845E+00	0.800E-01	0.178E-03	0.000E+00
435.263	68.0	0.143E-03	0.232E+00	0.584E+00	0.383E-01	0.636E-04	0.000E+00
439.177	70.0	0.630E-03	0.264E+00	0.381E+00	0.179E-01	0.220E-04	0.000E+00
443.090	72.0	0.195E-02	0.271E+00	0.235E+00	0.818E-02	0.696E-05	0.000E+00
447.003	74.0	0.460E-02	0.254E+00	0.139E+00	0.366E-02	0.168E-05	0.000E+00
450.916	76.0	0.885E-02	0.219E+00	0.794E-01	0.160E-02	0.000E+00	0.000E+00
454.829	78.0	0.145E-01	0.175E+00	0.437E-01	0.691E-03	0.000E+00	0.000E+00
458.742	80.0	0.208E-01	0.132E+00	0.234E-01	0.293E-03	0.000E+00	0.000E+00
462.655	82.0	0.266E-01	0.940E-01	0.123E-01	0.122E-03	0.000E+00	0.000E+00
466.568	84.0	0.308E-01	0.639E-01	0.626E-02	0.500E-04	0.000E+00	0.000E+00
470.481	86.0	0.325E-01	0.416E-01	0.314E-02	0.199E-04	0.000E+00	0.000E+00
474.394	88.0	0.317E-01	0.262E-01	0.154E-02	0.774E-05	0.000E+00	0.000E+00
478.307	90.0	0.288E-01	0.159E-01	0.747E-03	0.271E-05	0.000E+00	0.000E+00
482.220	92.0	0.245E-01	0.944E-02	0.356E-03	0.529E-06	0.000E+00	0.000E+00
486.133	94.0	0.198E-01	0.546E-02	0.167E-03	0.000E+00	0.000E+00	0.000E+00
490.046	96.0	0.151E-01	0.309E-02	0.771E-04	0.000E+00	0.000E+00	0.000E+00
493.959	98.0	0.111E-01	0.171E-02	0.351E-04	0.000E+00	0.000E+00	0.000E+00


E_lab	E*/MeV	173Pt	174Pt	175Pt	176Pt	177Pt	178Pt
341.350	20.0	0.000E+00	0.000E+00	0.162E-07	0.361E-04	0.000E+00	0.571E-04
345.263	22.0	0.000E+00	0.000E+00	0.624E-05	0.771E-03	0.000E+00	0.240E-02
349.177	24.0	0.000E+00	0.000E+00	0.246E-03	0.681E-02	0.122E-05	0.306E-01
353.090	26.0	0.000E+00	0.000E+00	0.296E-02	0.280E-01	0.118E-03	0.162E+00
357.003	28.0	0.000E+00	0.000E+00	0.182E-01	0.711E-01	0.344E-02	0.518E+00
360.916	30.0	0.000E+00	0.347E-05	0.706E-01	0.129E+00	0.419E-01	0.118E+01
364.829	32.0	0.000E+00	0.124E-03	0.194E+00	0.178E+00	0.263E+00	0.208E+01
368.742	34.0	0.000E+00	0.140E-02	0.408E+00	0.193E+00	0.980E+00	0.295E+01
372.655	36.0	0.000E+00	0.861E-02	0.682E+00	0.168E+00	0.243E+01	0.347E+01
376.568	38.0	0.000E+00	0.345E-01	0.935E+00	0.123E+00	0.448E+01	0.344E+01
380.481	40.0	0.000E+00	0.978E-01	0.107E+01	0.977E-01	0.659E+01	0.296E+01
384.394	42.0	0.178E-05	0.209E+00	0.104E+01	0.177E+00	0.825E+01	0.224E+01
388.307	44.0	0.368E-04	0.358E+00	0.871E+00	0.516E+00	0.915E+01	0.152E+01
392.220	46.0	0.319E-03	0.514E+00	0.639E+00	0.128E+01	0.920E+01	0.940E+00
396.133	48.0	0.173E-02	0.638E+00	0.417E+00	0.255E+01	0.848E+01	0.533E+00
400.046	50.0	0.670E-02	0.694E+00	0.248E+00	0.405E+01	0.721E+01	0.282E+00
403.959	52.0	0.193E-01	0.674E+00	0.149E+00	0.552E+01	0.568E+01	0.141E+00
407.872	54.0	0.430E-01	0.588E+00	0.141E+00	0.667E+01	0.416E+01	0.669E-01
411.785	56.0	0.781E-01	0.466E+00	0.271E+00	0.728E+01	0.285E+01	0.305E-01
415.698	58.0	0.120E+00	0.338E+00	0.594E+00	0.728E+01	0.183E+01	0.134E-01
419.611	60.0	0.159E+00	0.227E+00	0.113E+01	0.671E+01	0.112E+01	0.573E-02
423.524	62.0	0.186E+00	0.143E+00	0.182E+01	0.575E+01	0.644E+00	0.238E-02
427.437	64.0	0.193E+00	0.889E-01	0.225E+01	0.533E+01	0.356E+00	0.963E-03
431.350	66.0	0.181E+00	0.676E-01	0.290E+01	0.414E+01	0.189E+00	0.381E-03
435.263	68.0	0.155E+00	0.860E-01	0.341E+01	0.303E+01	0.971E-01	0.147E-03
439.177	70.0	0.122E+00	0.155E+00	0.368E+01	0.210E+01	0.483E-01	0.551E-04
443.090	72.0	0.889E-01	0.282E+00	0.369E+01	0.133E+01	0.234E-01	0.201E-04
447.003	74.0	0.611E-01	0.465E+00	0.346E+01	0.751E+00	0.111E-01	0.705E-05
450.916	76.0	0.399E-01	0.686E+00	0.304E+01	0.352E+00	0.511E-02	0.226E-05
454.829	78.0	0.257E-01	0.913E+00	0.252E+01	0.159E+00	0.231E-02	0.545E-06
458.742	80.0	0.182E-01	0.111E+01	0.198E+01	0.745E-01	0.102E-02	0.000E+00
462.655	82.0	0.209E-01	0.123E+01	0.148E+01	0.386E-01	0.445E-03	0.000E+00
466.568	84.0	0.300E-01	0.128E+01	0.958E+00	0.191E-01	0.190E-03	0.000E+00
470.481	86.0	0.497E-01	0.124E+01	0.544E+00	0.102E-01	0.792E-04	0.000E+00
474.394	88.0	0.739E-01	0.114E+01	0.434E+00	0.519E-02	0.324E-04	0.000E+00
478.307	90.0	0.109E+00	0.101E+01	0.194E+00	0.263E-02	0.127E-04	0.000E+00
482.220	92.0	0.147E+00	0.846E+00	0.850E-01	0.123E-02	0.425E-05	0.000E+00
486.133	94.0	0.184E+00	0.671E+00	0.373E-01	0.182E-03	0.997E-06	0.000E+00
490.046	96.0	0.214E+00	0.500E+00	0.164E-01	0.000E+00	0.833E-07	0.000E+00
493.959	98.0	0.221E+00	0.389E+00	0.751E-02	0.000E+00	0.000E+00	0.000E+00


