E_lab	E*/MeV	197At	198At	199At	200At	201At	202At	203At	204At	205At
219.068	89.0	0.255E-02	0.475E-01	0.460E-01	0.228E-02	0.195E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
220.310	90.0	0.340E-02	0.450E-01	0.352E-01	0.158E-02	0.120E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00


E_lab	E*/MeV	196Po	197Po	198Po	199Po	200Po	201Po	202Po	203Po	204Po
164.401	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.480E-09	0.109E-06	0.402E-07	0.140E-10	0.000E+00
165.643	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.585E-08	0.410E-06	0.982E-07	0.252E-10	0.000E+00
166.886	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.649E-06	0.115E-03	0.571E-04	0.764E-07	0.295E-10
168.128	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.694E-05	0.565E-03	0.228E-03	0.306E-06	0.196E-09
169.371	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.576E-04	0.214E-02	0.652E-03	0.766E-06	0.539E-09
170.613	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.409E-03	0.763E-02	0.170E-02	0.164E-05	0.253E-09
171.856	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.252E-02	0.260E-01	0.424E-02	0.329E-05	0.000E+00
173.098	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.136E-01	0.832E-01	0.101E-01	0.630E-05	0.000E+00
174.340	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.608E-01	0.239E+00	0.225E-01	0.114E-04	0.000E+00
175.583	54.0	0.000E+00	0.000E+00	0.000E+00	0.151E-05	0.207E+00	0.560E+00	0.428E-01	0.187E-04	0.000E+00
176.825	55.0	0.000E+00	0.000E+00	0.000E+00	0.166E-04	0.499E+00	0.984E+00	0.656E-01	0.265E-04	0.000E+00
178.068	56.0	0.000E+00	0.000E+00	0.000E+00	0.108E-03	0.891E+00	0.133E+01	0.816E-01	0.324E-04	0.000E+00
179.310	57.0	0.000E+00	0.000E+00	0.000E+00	0.494E-03	0.130E+01	0.150E+01	0.872E-01	0.348E-04	0.000E+00
180.552	58.0	0.000E+00	0.000E+00	0.000E+00	0.174E-02	0.168E+01	0.150E+01	0.831E-01	0.338E-04	0.000E+00
181.795	59.0	0.000E+00	0.000E+00	0.000E+00	0.503E-02	0.199E+01	0.139E+01	0.722E-01	0.300E-04	0.000E+00
183.037	60.0	0.000E+00	0.000E+00	0.000E+00	0.125E-01	0.225E+01	0.121E+01	0.581E-01	0.245E-04	0.000E+00
184.280	61.0	0.000E+00	0.000E+00	0.000E+00	0.272E-01	0.244E+01	0.100E+01	0.439E-01	0.186E-04	0.000E+00
185.522	62.0	0.000E+00	0.000E+00	0.000E+00	0.531E-01	0.258E+01	0.809E+00	0.315E-01	0.131E-04	0.000E+00
186.765	63.0	0.000E+00	0.000E+00	0.557E-06	0.942E-01	0.265E+01	0.635E+00	0.218E-01	0.859E-05	0.000E+00
188.007	64.0	0.000E+00	0.000E+00	0.356E-05	0.154E+00	0.266E+01	0.488E+00	0.147E-01	0.527E-05	0.000E+00
189.249	65.0	0.000E+00	0.000E+00	0.178E-04	0.233E+00	0.261E+01	0.368E+00	0.975E-02	0.303E-05	0.000E+00
190.492	66.0	0.000E+00	0.000E+00	0.732E-04	0.331E+00	0.251E+01	0.274E+00	0.639E-02	0.164E-05	0.000E+00
191.734	67.0	0.000E+00	0.000E+00	0.256E-03	0.444E+00	0.236E+01	0.201E+00	0.416E-02	0.792E-06	0.000E+00
192.977	68.0	0.000E+00	0.000E+00	0.771E-03	0.568E+00	0.218E+01	0.146E+00	0.269E-02	0.257E-06	0.000E+00
194.219	69.0	0.000E+00	0.000E+00	0.204E-02	0.696E+00	0.197E+01	0.105E+00	0.173E-02	0.000E+00	0.000E+00
195.462	70.0	0.000E+00	0.000E+00	0.482E-02	0.822E+00	0.175E+01	0.748E-01	0.110E-02	0.000E+00	0.000E+00
196.704	71.0	0.000E+00	0.000E+00	0.102E-01	0.937E+00	0.152E+01	0.528E-01	0.701E-03	0.000E+00	0.000E+00
197.946	72.0	0.000E+00	0.000E+00	0.198E-01	0.104E+01	0.131E+01	0.370E-01	0.444E-03	0.000E+00	0.000E+00
199.189	73.0	0.000E+00	0.000E+00	0.353E-01	0.111E+01	0.110E+01	0.257E-01	0.280E-03	0.000E+00	0.000E+00
200.431	74.0	0.000E+00	0.000E+00	0.584E-01	0.117E+01	0.912E+00	0.177E-01	0.176E-03	0.000E+00	0.000E+00
201.674	75.0	0.000E+00	0.535E-06	0.904E-01	0.120E+01	0.745E+00	0.122E-01	0.110E-03	0.000E+00	0.000E+00
202.916	76.0	0.000E+00	0.242E-05	0.132E+00	0.120E+01	0.601E+00	0.829E-02	0.683E-04	0.000E+00	0.000E+00
204.159	77.0	0.000E+00	0.924E-05	0.183E+00	0.117E+01	0.478E+00	0.562E-02	0.423E-04	0.000E+00	0.000E+00
205.401	78.0	0.000E+00	0.306E-04	0.241E+00	0.112E+01	0.376E+00	0.379E-02	0.260E-04	0.000E+00	0.000E+00
206.643	79.0	0.000E+00	0.891E-04	0.306E+00	0.105E+01	0.293E+00	0.255E-02	0.159E-04	0.000E+00	0.000E+00
207.886	80.0	0.000E+00	0.232E-03	0.374E+00	0.972E+00	0.226E+00	0.170E-02	0.959E-05	0.000E+00	0.000E+00
209.128	81.0	0.000E+00	0.543E-03	0.443E+00	0.881E+00	0.172E+00	0.113E-02	0.574E-05	0.000E+00	0.000E+00
210.371	82.0	0.000E+00	0.116E-02	0.508E+00	0.785E+00	0.130E+00	0.750E-03	0.327E-05	0.000E+00	0.000E+00
211.613	83.0	0.000E+00	0.228E-02	0.568E+00	0.688E+00	0.977E-01	0.495E-03	0.178E-05	0.000E+00	0.000E+00
212.856	84.0	0.000E+00	0.415E-02	0.619E+00	0.595E+00	0.728E-01	0.325E-03	0.785E-06	0.000E+00	0.000E+00
214.098	85.0	0.917E-07	0.705E-02	0.659E+00	0.507E+00	0.538E-01	0.213E-03	0.179E-06	0.000E+00	0.000E+00
215.340	86.0	0.395E-06	0.113E-01	0.687E+00	0.427E+00	0.395E-01	0.139E-03	0.000E+00	0.000E+00	0.000E+00
216.583	87.0	0.147E-05	0.170E-01	0.702E+00	0.354E+00	0.289E-01	0.899E-04	0.000E+00	0.000E+00	0.000E+00
217.825	88.0	0.477E-05	0.245E-01	0.704E+00	0.291E+00	0.210E-01	0.580E-04	0.000E+00	0.000E+00	0.000E+00
219.068	89.0	0.139E-04	0.338E-01	0.693E+00	0.237E+00	0.151E-01	0.372E-04	0.000E+00	0.000E+00	0.000E+00
220.310	90.0	0.365E-04	0.447E-01	0.670E+00	0.190E+00	0.109E-01	0.237E-04	0.000E+00	0.000E+00	0.000E+00


E_lab	E*/MeV	195Bi	196Bi	197Bi	198Bi	199Bi	200Bi	201Bi	202Bi	203Bi
164.401	45.0	0.000E+00	0.000E+00	0.843E-11	0.901E-08	0.167E-07	0.199E-10	0.456E-09	0.271E-09	0.164E-11
165.643	46.0	0.000E+00	0.000E+00	0.131E-09	0.428E-07	0.480E-07	0.413E-10	0.207E-08	0.754E-09	0.322E-11
166.886	47.0	0.000E+00	0.000E+00	0.934E-08	0.131E-04	0.188E-04	0.644E-07	0.763E-06	0.353E-06	0.374E-08
168.128	48.0	0.000E+00	0.000E+00	0.136E-06	0.744E-04	0.819E-04	0.249E-06	0.417E-05	0.142E-05	0.147E-07
169.371	49.0	0.000E+00	0.000E+00	0.141E-05	0.327E-03	0.253E-03	0.686E-06	0.177E-04	0.420E-05	0.391E-07
170.613	50.0	0.000E+00	0.000E+00	0.125E-04	0.132E-02	0.711E-03	0.200E-05	0.703E-04	0.114E-04	0.910E-07
171.856	51.0	0.000E+00	0.000E+00	0.971E-04	0.503E-02	0.190E-02	0.798E-05	0.268E-03	0.296E-04	0.201E-06
173.098	52.0	0.000E+00	0.000E+00	0.664E-03	0.180E-01	0.484E-02	0.414E-04	0.965E-03	0.726E-04	0.425E-06
174.340	53.0	0.000E+00	0.000E+00	0.380E-02	0.575E-01	0.113E-01	0.216E-03	0.313E-02	0.163E-03	0.850E-06
175.583	54.0	0.000E+00	0.000E+00	0.164E-01	0.150E+00	0.227E-01	0.897E-03	0.827E-02	0.311E-03	0.153E-05
176.825	55.0	0.000E+00	0.594E-07	0.495E-01	0.292E+00	0.366E-01	0.263E-02	0.164E-01	0.472E-03	0.238E-05
178.068	56.0	0.000E+00	0.115E-05	0.108E+00	0.442E+00	0.484E-01	0.564E-02	0.249E-01	0.584E-03	0.319E-05
179.310	57.0	0.000E+00	0.689E-05	0.189E+00	0.558E+00	0.557E-01	0.974E-02	0.315E-01	0.631E-03	0.383E-05
180.552	58.0	0.000E+00	0.305E-04	0.284E+00	0.625E+00	0.583E-01	0.147E-01	0.355E-01	0.622E-03	0.421E-05
181.795	59.0	0.000E+00	0.109E-03	0.388E+00	0.644E+00	0.568E-01	0.203E-01	0.372E-01	0.574E-03	0.431E-05
183.037	60.0	0.000E+00	0.336E-03	0.495E+00	0.623E+00	0.520E-01	0.263E-01	0.368E-01	0.504E-03	0.415E-05
184.280	61.0	0.000E+00	0.918E-03	0.598E+00	0.572E+00	0.452E-01	0.326E-01	0.351E-01	0.424E-03	0.378E-05
185.522	62.0	0.000E+00	0.227E-02	0.694E+00	0.505E+00	0.378E-01	0.388E-01	0.324E-01	0.344E-03	0.325E-05
186.765	63.0	0.000E+00	0.514E-02	0.778E+00	0.431E+00	0.311E-01	0.447E-01	0.291E-01	0.270E-03	0.264E-05
188.007	64.0	0.000E+00	0.107E-01	0.849E+00	0.358E+00	0.262E-01	0.498E-01	0.257E-01	0.205E-03	0.203E-05
189.249	65.0	0.915E-07	0.204E-01	0.902E+00	0.290E+00	0.236E-01	0.540E-01	0.222E-01	0.151E-03	0.148E-05
190.492	66.0	0.642E-06	0.360E-01	0.937E+00	0.231E+00	0.235E-01	0.569E-01	0.188E-01	0.109E-03	0.102E-05
191.734	67.0	0.392E-05	0.591E-01	0.952E+00	0.180E+00	0.259E-01	0.585E-01	0.158E-01	0.771E-04	0.681E-06
192.977	68.0	0.159E-04	0.906E-01	0.947E+00	0.139E+00	0.304E-01	0.586E-01	0.130E-01	0.535E-04	0.440E-06
194.219	69.0	0.552E-04	0.131E+00	0.922E+00	0.105E+00	0.366E-01	0.573E-01	0.106E-01	0.366E-04	0.279E-06
195.462	70.0	0.169E-03	0.179E+00	0.881E+00	0.787E-01	0.441E-01	0.548E-01	0.754E-02	0.248E-04	0.174E-06
196.704	71.0	0.462E-03	0.232E+00	0.825E+00	0.584E-01	0.524E-01	0.513E-01	0.558E-02	0.166E-04	0.107E-06
197.946	72.0	0.114E-02	0.289E+00	0.758E+00	0.431E-01	0.612E-01	0.470E-01	0.401E-02	0.111E-04	0.648E-07
199.189	73.0	0.259E-02	0.347E+00	0.684E+00	0.319E-01	0.699E-01	0.422E-01	0.254E-02	0.731E-05	0.387E-07
200.431	74.0	0.535E-02	0.402E+00	0.607E+00	0.240E-01	0.781E-01	0.370E-01	0.176E-02	0.480E-05	0.221E-07
201.674	75.0	0.102E-01	0.451E+00	0.529E+00	0.190E-01	0.856E-01	0.317E-01	0.123E-02	0.313E-05	0.118E-07
202.916	76.0	0.180E-01	0.491E+00	0.454E+00	0.164E-01	0.918E-01	0.267E-01	0.845E-03	0.203E-05	0.517E-08
204.159	77.0	0.296E-01	0.521E+00	0.384E+00	0.159E-01	0.967E-01	0.219E-01	0.590E-03	0.131E-05	0.000E+00
205.401	78.0	0.458E-01	0.539E+00	0.320E+00	0.174E-01	0.100E+00	0.167E-01	0.380E-03	0.837E-06	0.000E+00
206.643	79.0	0.668E-01	0.544E+00	0.263E+00	0.206E-01	0.101E+00	0.114E-01	0.252E-03	0.532E-06	0.000E+00
207.886	80.0	0.925E-01	0.537E+00	0.213E+00	0.253E-01	0.101E+00	0.775E-02	0.175E-03	0.334E-06	0.000E+00
209.128	81.0	0.122E+00	0.518E+00	0.171E+00	0.314E-01	0.992E-01	0.502E-02	0.108E-03	0.208E-06	0.000E+00
210.371	82.0	0.155E+00	0.491E+00	0.136E+00	0.385E-01	0.949E-01	0.321E-02	0.719E-04	0.127E-06	0.000E+00
211.613	83.0	0.190E+00	0.456E+00	0.108E+00	0.464E-01	0.890E-01	0.198E-02	0.421E-04	0.769E-07	0.000E+00
212.856	84.0	0.226E+00	0.416E+00	0.846E-01	0.546E-01	0.819E-01	0.123E-02	0.260E-04	0.446E-07	0.000E+00
214.098	85.0	0.237E+00	0.408E+00	0.837E-01	0.572E-01	0.810E-01	0.128E-02	0.155E-04	0.244E-07	0.000E+00
215.340	86.0	0.271E+00	0.365E+00	0.666E-01	0.649E-01	0.731E-01	0.754E-03	0.884E-05	0.121E-07	0.000E+00
216.583	87.0	0.296E+00	0.332E+00	0.566E-01	0.721E-01	0.646E-01	0.421E-03	0.482E-05	0.168E-08	0.000E+00
217.825	88.0	0.304E+00	0.323E+00	0.572E-01	0.717E-01	0.649E-01	0.237E-03	0.245E-05	0.000E+00	0.000E+00
219.068	89.0	0.330E+00	0.281E+00	0.484E-01	0.777E-01	0.474E-01	0.131E-03	0.000E+00	0.000E+00	0.000E+00
220.310	90.0	0.351E+00	0.240E+00	0.431E-01	0.826E-01	0.339E-01	0.704E-04	0.000E+00	0.000E+00	0.000E+00


